Title,Monthly sales,Sales,Monthly revenue,Revenue,LQS,Price,Category,Shop,BSR Category (%),BSR Category,Conversion rate,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Personalization required,Creation date,Favorites,Listing type,Listing age (days),Vintage,Supply item,Personalizable,Image count,Free US shipping
"Oval Alexandrite Dangle Earrings in 925 Sterling Silver- Hypoallergenic/ Waterproof - Teal & Purple Bridal Jewelry Anniversary Gifts For Her","2","55","$206","$7425","63","$135.00","Jewelry","Aquamarise","0.0","NaN","1.74%","Shop owner","Made to Order","3169","Yes","https://www.etsy.com/listing/1300231675/oval-alexandrite-dangle-earrings-in-925","13","alexandrite earrings,alexandrite jewelry,color changing stone,bridal earrings,BIRTHSTONE EARRINGS,GIFTS FOR HER,oval dangle earrings,dainty earrings,genuine alexandrite,unique earrings,earrings for women,women silver jewelry,June birthstone","30.91%","17","5.00","None","4.00 days","3 days","5 days","No","06 Eyl, 2022","289","Physical","1098","No","No","No","4","Yes",
"Natural Sunstone Leaf Ring- 14K Rose Gold Vermeil- Round Orange Unique Gemstone Engagement Rings For Women- Dainty Promise Ring Gift For Her","1","45","$124","$4005","58","$89.00","Jewelry","Aquamarise","0.0","NaN","0.69%","Shop owner","Made to Order","6484","Yes","https://www.etsy.com/listing/1380253003/natural-sunstone-leaf-ring-14k-rose-gold","13","sunstone ring,orange gemstone,ring for women,birthday gift,leaf and vine ring,STATEMENT RING,GIFTS FOR HER,GIFTS FOR MOM,PERSONALIZED RING,GIFT FOR WIFE,PROMISE RING FOR HER,handmade jewelry,personalized jewelry","31.11%","14","5.00","None","4.00 days","3 days","5 days","No","27 Ara, 2022","632","Physical","985","No","No","Yes","7","Yes",
"Blue Sapphire Engagement Ring in 14K Rose Gold Vermeil - Lab-Grown Cushion Cut Sapphire Promise Ring September Birthstone- Anniversary Gift","1","32","$53","$2848","53","$89.00","Jewelry","Aquamarise","0.0","NaN","0.65%","Shop owner","","4952","Yes","https://www.etsy.com/listing/992806445/blue-sapphire-engagement-ring-in-14k","13","September Birthstone,Gift For Her,blue sapphire ring,STATEMENT RING,her engagement ring,dainty promise ring,GIFTS FOR HER,PROMISE RING FOR HER,personalized jewelry,rose gold ring women,women sapphire ring,cushion sapphire,14k rose gold ring","31.25%","10","5.00","None","4.00 days","3 days","5 days","No","01 Nis, 2021","327","Physical","1620","No","No","Yes","5","Yes",
"Blue Topaz and Citrine Ring- Sterling Silver Wedding Band- Yellow Blue November Birthstone Rings For Women- Anniversary Promise Gift For Her","1","52","$131","$4628","58","$89.00","Jewelry","Aquamarise","0.0","NaN","1.33%","Shop owner","Made to Order","3917","Yes","https://www.etsy.com/listing/1301276160/blue-topaz-and-citrine-ring-sterling","13","swiss topaz ring,topaz and citrine,Ukrainian flag ring,blue and yellow ring,engagement ring,support Ukraine,birthstone jewelry,vintage rings,GIFTS FOR HER,GIFTS FOR MOM,PERSONALIZED RING,PROMISE RING FOR HER,handmade jewelry","30.77%","16","4.90","None","4.00 days","3 days","5 days","No","29 Eyl, 2022","264","Physical","1074","No","No","Yes","4","Yes",
"Natural Moss Agate Engagement Ring For Women Alternative Engagement Ring Nature Inspired Leaf Ring Anniversary Rings 14K Yellow Gold Vermeil","0","13","$42","$1157","58","$89.00","Jewelry","Aquamarise","0.0","NaN","0.83%","Shop owner","Made to Order","1558","Yes","https://www.etsy.com/listing/1483599915/natural-moss-agate-engagement-ring-for","13","green moss agate,birthday gift,leaf and vine ring,modern vintage ring,flower ring,leaf engagement ring,moss agate ring,promise ring for her,GIFTS FOR HER,GIFTS FOR MOM,GIFT FOR WIFE,handmade jewelry,personalized jewelry","0.00%","0","0.00","None","4.00 days","3 days","5 days","No","16 May, 2023","108","Physical","845","No","No","Yes","9","Yes",
"Teardrop Alexandrite Ring- 14K Rose Gold Vermeil Engagement Ring For Women- Promise Ring Color Changing Stone- June Birthstone- Gift For Her","1","65","$89","$5785","68","$89.00","Jewelry","Aquamarise","0.0","NaN","0.63%","Shop owner","Made to Order","10367","Yes","https://www.etsy.com/listing/798494947/teardrop-alexandrite-ring-14k-rose-gold","13","Alexandrite ring,engagement ring,color changing stone,June birthstone,birthday gift,Dainty promise ring,PERSONALIZED JEWELRY,natural alexandrite,GIFTS FOR HER,GIFTS FOR MOM,PERSONALIZED RING,GIFT FOR WIFE,PROMISE RING FOR HER","30.77%","20","5.00","None","4.00 days","3 days","5 days","No","22 Nis, 2020","775","Physical","1965","No","No","Yes","8","Yes",
"Blue Fire Opal & Opalescent Sapphire Ring- 925 Sterling Silver Light Blue Leaf Engagement Ring For Women- Unique Promise Ring- Gift For Her","2","26","$153","$2314","58","$89.00","Jewelry","Aquamarise","0.0","NaN","0.35%","Shop owner","Made to Order","7478","Yes","https://www.etsy.com/listing/1722626436/blue-fire-opal-opalescent-sapphire-ring","13","Vintage Ring,Anniversary Gift,GIFTS FOR HER,PROMISE RING FOR HER,Custom Ring for Her,Her Engagement Ring,Alternative bride,Art Deco Engagement,Statement Ring,Blue Fire opal ring,Blue rings women,Leaf wedding ring,Fairy core aesthetic","30.77%","8","5.00","None","4.00 days","3 days","5 days","No","24 May, 2024","636","Physical","471","No","No","Yes","10","Yes",
"Art Deco Diamond Stud Earrings in 925 Sterling Silver- Vintage Bridal Simulated Diamond Studs- April Birthstone- Anniversary Gift For Her","0","6","$13","$534","58","$89.00","Jewelry","Aquamarise","0.0","NaN","0.39%","Shop owner","Made to Order","1548","Yes","https://www.etsy.com/listing/1234304137/art-deco-diamond-stud-earrings-in-925","13","diamond earrings,Gatsby earrings,bridal earrings,April birthstone,birthday gift,unique earrings,antique earrings,GIFTS FOR HER,dainty stud earrings,925 sterling silver,vintage earrings,women stud earrings,diamond studs","33.33%","2","5.00","None","4.00 days","3 days","5 days","No","16 May, 2022","192","Physical","1210","No","No","No","3","Yes",
"Diamond & Emerald Leaf Couples Ring Set- His and Hers Matching Promise Rings- Rose Gold Rings- May Birthstone- Fairy Unique Engagement Rings","1","13","$247","$3185","63","$245.00","Jewelry","Aquamarise","0.0","NaN","0.30%","Shop owner","Made to Order","4367","Yes","https://www.etsy.com/listing/1770622801/diamond-emerald-leaf-couples-ring-set","13","Matching ring set,his and hers ring,couples ring set,engagement ring set,couples promise ring,couple wedding band,promise ring set,emerald ring set,may birthstone ring,green emerald ring,emerald couples ring,leaf and vine ring,fairy wedding rings","30.77%","4","5.00","None","4.00 days","3 days","5 days","No","30 Tem, 2024","236","Physical","405","No","No","Yes","7","Yes",
"Marquise Sapphire Engagement Ring in 14K Rose Gold Vermeil- Unique Flower Blue Promise Ring- September Birthstone- Anniversary Gift For Her","5","247","$428","$21983","68","$89.00","Jewelry","Aquamarise","0.0","NaN","0.60%","Shop owner","","41070","Yes","https://www.etsy.com/listing/1016506108/marquise-sapphire-engagement-ring-in-14k","13","September birthstone,blue sapphire ring,her engagement ring,dainty promise ring,GIFTS FOR HER,PROMISE RING FOR HER,marquise sapphire,rose gold sapphire,14k rose gold ring,sapphire ring women,unique ring for her,marquise engagement,flower ring sapphire","30.77%","76","5.00","None","4.00 days","3 days","5 days","No","04 Haz, 2021","2950","Physical","1557","No","No","Yes","4","Yes",
"Borealis & Tanzanite Couples Ring Set- His and Hers Wedding Bands- Northern Lights Tree Matching Rings Outer Space Starry Night Couples Ring","1","13","$254","$3315","47","$255.00","Jewelry","Aquamarise","0.0","NaN","0.85%","Shop owner","Made to Order","1535","Yes","https://www.etsy.com/listing/1753889430/borealis-tanzanite-couples-ring-set-his","13","Matching ring set,his and hers ring,engagement ring set,wedding ring set,couples promise ring,couples wedding band,Outer space ring,purple couples ring,matching rings,Starry night ring,aurora borealis ring,tanzanite jewelry,trees wedding band","0.00%","0","0.00","None","4.00 days","3 days","5 days","No","25 Tem, 2024","124","Physical","410","No","No","Yes","8","Yes",
"Blue Fire Opal & Sapphire Engagement Ring For Women- 925 Sterling Silver Marquise Leaf Sapphire Promise Ring- Unique September Birthstone","0","6","$35","$534","58","$89.00","Jewelry","Aquamarise","0.0","NaN","0.46%","Shop owner","Made to Order","1299","Yes","https://www.etsy.com/listing/1735137603/blue-fire-opal-sapphire-engagement-ring","13","Blue sapphire ring,Leaf engagement ring,Dainty promise ring,sapphire leaf ring,Womens Promise Ring,Gifts For Her,September birthstone,handmade jewelry,Fairy Core Jewelry,matching rings,Blue fire opal ring,hexagon cut rings,Unique rings women","33.33%","2","5.00","None","4.00 days","3 days","5 days","No","21 May, 2024","116","Physical","474","No","No","Yes","7","Yes",
