Keyword,Search volume,3mo. change,Competition,Sales,Score,Trend status,Search to competition ratio,Google top of page bid (low range),Long-tail keyword,Listing age,Length,Google top of page bid (high range),Google CPC,Google competition level,Google competition index,Etsy tag,Conversion rate,Competition level,Sales per listing,Annual search trend
"modern gold band","10","0%","24018","962401","37","Stable","0.00","87","Yes","1747 days","16","295","191","High","96","Yes","1.00%","Low","40","0%",
"solid gold band","1300","0%","199997","7967880","31","Shrinking","0.01","7","Yes","1375 days","15","31","19","High","100","Yes","1.00%","Moderate","40","0%",
"anniversary band","8100","0%","405357","16980405","38","Shrinking","0.02","59","Yes","1082 days","16","326","192","High","100","Yes","1.00%","High","42","0%",
"geometric gold ring","260","0%","54309","4749322","48","Shrinking","0.00","16","Yes","1407 days","19","183","100","High","100","Yes","2.00%","Moderate","87","-19%",
"modern gold ring","1000","0%","61550","3485577","38","Shrinking","0.02","2","Yes","1498 days","16","14","8","High","100","Yes","1.00%","Moderate","57","0%",
"everyday ring","2400","0%","81719","3617700","53","Shrinking","0.03","4","Yes","1374 days","13","14","9","High","100","Yes","2.00%","Moderate","44","0%",
"simple gold ring","18100","0%","77786","4062763","65","Stable","0.23","4","Yes","1663 days","17","95","49","High","100","Yes","1.00%","Moderate","52","0%",
"anniversary ring","18100","0%","1169612","28982985","38","Shrinking","0.02","3","Yes","907 days","17","31","17","High","100","Yes","1.00%","Very high","25","0%",
"minimalist ring","3600","0%","759553","76722449","34","Shrinking","0.00","0","Yes","1030 days","15","11","5","High","100","Yes","2.00%","Very high","101","0%",
"rings for women","135000","0%","2578514","65803677","51","Shrinking","0.05","0","Yes","1064 days","14","12","6","High","100","Yes","2.00%","Very high","26","0%",
"modern rings","2900","0%","134745","5680849","51","Shrinking","0.02","33","No","1395 days","11","153","93","High","100","Yes","2.00%","Moderate","42","-20%",
"minimalist gold ring","2400","0%","509048","75588538","19","Shrinking","0.00","0","Yes","1076 days","20","8","4","High","100","Yes","1.00%","Very high","148","0%",
"anniversary gift","301000","0%","3618295","382996526","52","Shrinking","0.08","1","Yes","976 days","16","16","9","High","100","Yes","3.00%","Very high","106","0%",
"gold wedding ring","60500","0%","1168337","44922558","39","Shrinking","0.05","4","Yes","1112 days","17","24","14","High","100","Yes","1.00%","Very high","38","0%",
"wedding ring","673000","0%","1786415","50627001","47","Shrinking","0.38","7","Yes","1109 days","12","31","19","High","100","Yes","1.00%","Very high","28","0%",
"engagement ring","1830000","0%","1614985","41085218","63","Shrinking","1.13","11","Yes","1040 days","15","57","34","High","100","Yes","1.00%","Very high","25","0%",
"statement rings","18100","0%","1293222","37115471","50","Shrinking","0.01","25","Yes","1025 days","14","114","70","High","100","Yes","2.00%","Very high","29","-18%",
"diamonds ring","1000000","0%","950698","37029687","63","Stable","1.05","4","Yes","1073 days","12","178","91","High","100","Yes","1.00%","Very high","39","-33%",
"gifts for her","165000","0%","8962048","686224015","50","Stable","0.02","20","Yes","881 days","12","107","63","High","100","Yes","3.00%","Very high","77","-32%",
"wedding bands","201000","0%","717350","23701244","45","Stable","0.28","58","Yes","1199 days","12","410","234","High","100","Yes","1.00%","Very high","33","0%",
"wedding band gold","40500","0%","477311","14777549","41","Stable","0.08","60","Yes","1251 days","17","305","182","High","100","Yes","1.00%","High","31","82%",
"modern gold wedding ring","590","0%","24244","53334","36","Shrinking","0.02","51","Yes","1312 days","24","237","144","High","100","No","0.70%","Low","15","23%",
"modern gold wedding band","590","0%","11103","22115","37","Shrinking","0.05","62","Yes","1429 days","24","237","150","High","100","No","0.69%","Low","15","84%",
"modern wedding ring","3600","0%","44862","1800312","46","Shrinking","0.08","0","Yes","1225 days","19","7","4","High","100","Yes","1.00%","Low","40","0%",
"14k gold ring","27100","0%","816601","27372466","38","Shrinking","0.03","4","Yes","960 days","13","19","12","High","100","Yes","1.00%","Very high","34","0%",
"gold stacking ring","18100","0%","330438","17057210","47","Stable","0.05","43","Yes","1373 days","19","173","108","High","100","Yes","1.00%","High","52","-18%",
"simple gold band","720","0%","31557","1917088","39","Shrinking","0.02","5","Yes","1853 days","16","27","16","High","100","Yes","1.00%","Low","61","0%",
"unisex gold ring","720","0%","707539","154073693","14","Shrinking","0.00","5","Yes","1320 days","16","92","49","High","100","Yes","1.00%","Very high","218","0%",
"unique rings gold","2400","0%","385403","12625802","24","Stable","0.01","36","Yes","1123 days","16","144","90","High","100","Yes","1.00%","High","33","-33%",
"gold band","74000","0%","591665","40742052","41","Shrinking","0.13","13","No","1285 days","9","201","107","High","92","Yes","1.00%","Very high","69","0%",
"dainty gold jewelry","2400","0%","746833","42352899","31","Shrinking","0.00","41","Yes","1110 days","19","159","100","High","100","Yes","2.00%","Very high","57","0%",
"14k gold band","5400","0%","270880","7679448","38","Shrinking","0.02","8","Yes","905 days","13","32","20","High","100","Yes","1.00%","High","28","0%",
"wedding ring unique","22200","0%","372652","16154464","45","Shrinking","0.06","60","Yes","1214 days","19","204","132","High","100","Yes","1.00%","High","43","-33%",
"unique wedding band","22200","0%","151591","9507788","59","Shrinking","0.15","7","Yes","1490 days","19","24","15","High","100","Yes","1.00%","Moderate","63","0%",
"gold handmade ring","880","0%","340854","14966899","23","Stable","0.00","26","Yes","1159 days","18","104","65","High","100","Yes","1.00%","High","44","-28%",
"solid gold ring","14800","0%","561136","22675506","38","Shrinking","0.03","4","Yes","1462 days","15","16","10","High","100","Yes","1.00%","Very high","40","0%",
"18k gold band","1300","0%","105701","2922633","36","Shrinking","0.01","54","Yes","849 days","13","228","141","High","100","Yes","1.00%","Moderate","28","0%",
"simple gold wedding band","2900","0%","23656","173473","50","Shrinking","0.12","60","Yes","1073 days","24","260","160","High","100","No","0.71%","Low","44","0%",
"yellow gold band","720","0%","396698","12448383","20","Shrinking","0.00","75","Yes","1353 days","16","428","251","High","96","Yes","1.00%","High","31","0%",
"unique gold wedding bands","880","0%","107032","3477470","35","Shrinking","0.01","58","Yes","1168 days","24","222","140","High","100","No","1.00%","Moderate","32","-12%",
"mens wedding band","12100","0%","305557","15403128","48","Shrinking","0.04","80","Yes","1322 days","16","371","226","High","100","Yes","1.00%","High","50","22%",
"modern white gold wedding band","0","0%","6600","8551","34","Shrinking","0.00","0","Yes","1473 days","30","0","0","Low","0","No","0.61%","Low","11","0%",
"modern thick botanical white gold band","0","0%","0","0","25","Stable","0.00","0","Yes","0 days","38","0","0","Low","0","No","0.00%","Very low","0","0%",
"lab diamond twist wedding band in 14k gold minimalist mobius ring for women stackable modern anniversary band twisted diamond ring","0","0%","4","0","25","Stable","0.00","0","Yes","0 days","133","0","0","Low","0","No","0.00%","Very low","0","0%",
"modern thickbotanical white gold band","0","0%","0","0","25","Stable","0.00","0","Yes","0 days","37","0","0","Low","0","No","0.00%","Very low","0","0%",
"marquise moissanite engagement ring set 10k solid gold four band east west modern wedding rings for women","0","0%","0","0","25","Stable","0.00","0","Yes","0 days","105","0","0","Low","0","No","0.00%","Very low","0","0%",
"gold band 14k modern","0","0%","9807","333438","25","Stable","0.00","0","Yes","2459 days","20","0","0","Low","0","Yes","0.00%","Low","34","0%",
"eternity modernist band, engagement ring, 14k white gold plated, womens diamond ring","0","0%","0","0","25","Stable","0.00","0","Yes","0 days","84","0","0","Low","0","No","0.00%","Very low","0","0%",
"modern gold band rings","0","0%","14977","60857","35","Shrinking","0.00","0","Yes","1313 days","22","0","0","Low","0","No","0.74%","Low","19","0%",
