Keyword,Search volume,3mo. Change,Competition,Score,Google Top of Page Bid (High),Google Top of Page Bid (Low),Google competition index,Google 1-Year Change,Google 3-Month Change,Etsy tag,Character length,Long-tail keyword,Average Review Count,Average Review Score,Google CPC,Google Competition Level,Google search volume,Average listing age,Average LQS,Conversion rate,Average price,Search to competition ratio,Competition level,Average views,Views,Average revenue,Revenue,Average sales,Sales,1-Year Change
"womens gift","798467","9.0%","14707388","26","$0","$0","","0%","0%","Yes","","","28.8","4","$0","Low","0","300","58","3.19%","$92.47","0.05","Very high","6846","2142039312","$5167","$1607671296","143","42247044","0.0%",
"gift for her","638171","15.0%","8927365","50","$0","$0","","-33%","-33%","Yes","","","14.2","4","$0","Low","165000","450","54","3.25%","$41.44","0.02","Very high","3490","716371054","$1736","$238654829","72","13823278","0.0%",
"gift for women","803629","10.0%","14566578","51","$0","$0","","-17%","-18%","Yes","","","29.5","4","$0","Low","301000","292","58","3.19%","$91.99","0.02","Very high","6945","2146222364","$5262","$1617720778","146","41971579","0.0%",
"gift","2738004","26.0%","46871268","51","$0","$0","","-33%","-6%","Yes","","","15.3","4","$0","Low","1830000","439","56","3.40%","$45.34","0.04","Very high","3870","2315356826","$2105","$799576587","81","45202194","0.0%",
"mens","801479","6.0%","18627255","50","$2","$0","","0%","0%","Yes","","","30.7","4","$1","Low","246000","281","57","4.05%","$115.69","0.01","Very high","5693","2196269712","$6167","$2452367096","149","58996256","0.0%",
"ladies","56075","32.0%","731356","73","$0","$0","","-33%","6%","Yes","","","16.1","4","$0","Low","673000","314","54","3.57%","$44.26","0.92","Very high","3779","152797410","$2140","$42723936","91","3708675","0.0%",
"funny","189088","0.0%","6997283","60","$0","$0","","-63%","14%","Yes","","","27.3","4","$0","Low","2740000","272","55","5.22%","$19.03","0.39","Very high","3907","721388235","$2046","$281114040","132","26182190","0.0%",
"handmade jewelry","282758","2.0%","4254038","51","$0","$0","","21%","-73%","Yes","","","19.7","4","$0","Low","165000","308","56","3.87%","$121.70","0.04","Very high","4269","557999792","$3880","$435637707","94","11788728","-14.0%",
"gifts for women","798721","10.0%","14566720","51","$0","$0","","-17%","-18%","Yes","","","29.4","4","$0","Low","301000","293","58","3.19%","$92.41","0.02","Very high","6910","2145101234","$5240","$1611945454","145","41971838","0.0%",
"t shirt","182238","118.0%","10640159","55","$2","$0","","-18%","20%","Yes","","","21.2","4","$1","Low","2240000","232","54","6.87%","$31.16","0.21","Very high","3459","883226440","$2970","$732968000","115","34815980","0.0%",
"tee shirt","157013","113.0%","10904372","50","$1","$0","","22%","49%","Yes","","","18.4","4","$0","Low","165000","238","53","6.21%","$28.74","0.02","Very high","2998","868269840","$2587","$681014220","100","30743460","0.0%",
"christmas","1295454","16.0%","14963206","58","$0","$0","","0%","-41%","Yes","","","16.3","4","$0","Low","5000000","436","55","3.78%","$51.38","0.33","Very high","4365","955416560","$3521","$355826240","84","20795040","0.0%",
"unisex","521338","21.0%","8065922","50","$0","$0","","0%","6%","Yes","","","17.9","4","$0","Low","135000","360","53","2.87%","$92.31","0.02","Very high","5100","956995598","$3684","$550215550","91","16696196","-7.0%",
"funny tshirt","118196","-8.0%","2680326","51","$1","$0","","-18%","6%","Yes","","","7.9","4","$0","Low","60500","338","51","4.26%","$21.46","0.02","Very high","1550","179752788","$890","$90414576","43","5023032","-13.0%",
"tshirt","138763","84.0%","11091617","55","$2","$0","","-18%","20%","Yes","","","13.3","4","$1","Low","2240000","282","51","5.47%","$25.95","0.20","Very high","2260","589043125","$1739","$424563435","75","21676787","0.0%",
