Title,Revenue,LQS,Price,Category,Shop,Sales,Monthly sales,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Favorites,Listing age (days),Personalization required,Creation date,Listing type,Vintage,Supply item,Personalizable,Image count,Free US shipping,Conversion rate,BSR Category,BSR Category (%),Monthly revenue
"Multi Stone Ring, Diamond Wedding Band, Marquise Ring, Womens Gold Ring, Stacking Ring, Sterling Silver Ring, Promise Ring, Diamond Ring,","$243270","63","$53.00","Jewelry","SamiJEWELS","4590","162","Member of the shop","","704852","Yes","https://www.etsy.com/listing/1464552200/multi-stone-ring-diamond-wedding-band","13","gold ring,wedding band,diamond wedding band,multi stone ring,marquise ring,sterling silver ring,promise ring,gift for her,stacking ring,statement ring,diamond ring,sami jewels,gold ring women","25.01%","1148","4.80","None","1.00 days","1 days","1 days","25567","852","No","09 May, 2023","Physical","No","No","No","9","Yes","0.65%","NaN","0.0","$8599",
"14k Solid Yellow Gold Domed Wedding Band | 2mm - 8mm Gold Ring | Classic Dome Comfort Fit Wedding Band | Men and Women's Engraved Ring","$840085","68","$239.00","Jewelry","VibrantStone","3515","146","Shop owner","Made to Order","539995","Yes","https://www.etsy.com/listing/1566052947/14k-solid-yellow-gold-domed-wedding-band","13","14k yellow gold ring,mens wedding bands,womens wedding bands,3mm yellow gold band,4mm yellow gold ring,5mm mens gold band,6mm mens gold ring,personalized ring,14k yellow dome ring,plain mens ring,14k wedding band,plain wedding band,gold dome ring","20.54%","722","4.90","None","3.50 days","1 days","6 days","11692","725","No","14 Eyl, 2023","Physical","No","No","Yes","10","Yes","0.65%","NaN","0.0","$34884",
"14k Solid White Gold 1mm Thin Wedding Band / Minimalist Wedding Ring for Women / Thin Stacking Ring Hers / Dainty Simple Plain 1mm Ring","$287430","74","$65.00","Jewelry","BelaronFineJewelry","4422","129","Shop owner","Made to Order","360758","No","https://www.etsy.com/listing/1329902012/14k-solid-white-gold-1mm-thin-wedding","13","14k solid gold ring,1mm thin ring,thin wedding band,thin wedding ring,1mm gold ring hers,1mm gold ring womens,thin band womens,14k gold thin ring,minimalist wedding,dainty wedding band,wedding band women,1mm white gold band,thin white gold ring","28.04%","1240","4.77","None","3.00 days","2 days","4 days","11345","1032","No","10 Kas, 2022","Physical","No","No","No","9","Yes","1.23%","NaN","0.0","$8358",
"Engraved Rings - Dainty Gold Ring - Name Rings - Custom Rings Both Sides Engraveable - Personalized Ring Gift For Her","$90264","84","$21.41","Jewelry","AnaviaDesign","4216","117","Shop owner","Made to Order","166753","Yes","https://www.etsy.com/listing/1292532282/engraved-rings-dainty-gold-ring-name","13","Engraved Ring,custom ring,personalized ring,custom engraved ring,name ring,Stainless Steel Ring,Thick band ring,Wedding Day Gift,Dainty Gold Ring,Custom ring for her,statement ring,ring for Women,rings with names","25.02%","1055","4.82","None","1.50 days","1 days","2 days","3894","1088","No","16 Eyl, 2022","Physical","No","No","Yes","10","No","2.53%","NaN","0.0","$2500",
"Thin 2mm Band Ring Mens, Woman's rings, Silver Gold and Rose Gold made from 316L Stainless Steel Rings, Personalised Unique Jewellery Gifts","$70956","68","$17.49","Jewelry","OutrageLondon","4057","79","Shop owner","Made to Order","161385","Yes","https://www.etsy.com/listing/1015191302/thin-2mm-band-ring-mens-womans-rings","13","mens ring,mens rings,rings men,men rings silver,silver rings,Womans rings,Womans band,Womans pinky,pinky ring,band ring,rings,Personalised Gifts,Unique Jewellery","17.18%","697","4.75","Ryan helps supply our base jewelry, that we then personalise or laser engrave on to.","1.00 days","1 days","1 days","7611","1559","No","01 Haz, 2021","Physical","No","No","Yes","10","No","2.51%","NaN","0.0","$1387",
"Black Obsidian Ring, Crystal Gemstone Double Bar Ring, Healing Protection Strength Reiki Ring, Minimalist Delicate 18K Gold Ring","$79900","74","$39.97","Jewelry","JosephineStudioNYC","1999","73","Production partner","Made to Order","72537","Yes","https://www.etsy.com/listing/1482583478/black-obsidian-ring-crystal-gemstone","13","Obsidian Ring,Healing Ring,Protection Ring,Delicate Ring,Simple Ring,Dainty Ring,Adjustable Ring,Resizable Ring,Strength Ring,anniversary ring,minimalist ring,vintage band ring,statement band ring","21.36%","427","4.87","Sherly Wu","1.00 days","1 days","1 days","6476","826","No","05 Haz, 2023","Physical","No","No","No","5","No","2.76%","NaN","0.0","$2907",
"Waterproof - Twisted Band Ring - 18K Gold Vermeil Ring - Solid 925 Silver - Minimalist Ring - Stackable Ring - Layering - Stacking Ring","$164475","68","$30.68","Jewelry","REDCHERRYBLVD","5361","71","Shop owner","","175587","Yes","https://www.etsy.com/listing/715610029/waterproof-twisted-band-ring-18k-gold","13","minimalist ring,minimalist jewelry,birthday gift,GOLD RING,handmade jewelry,gift for her,sterling silver ring,stacking ring,mother day gift,gifts for her,gold band ring,gold dainty ring,stackable ring gold","19.70%","1056","4.81","LLC &quot;LAZURIT-925&quot;","1.00 days","1 days","1 days","9585","2271","No","20 Haz, 2019","Physical","No","No","No","10","No","3.05%","NaN","0.0","$2174",
"Dainty Stacking Name Ring, Custom Engraved Skinny Band Ring, Gold Custom Name Ring, Dainty Name Ring, Personalized Gift for Her","$3540","26","$45.98","Jewelry","fenglangyueda","77","66","Shop owner","Made to Order","6797","No","https://www.etsy.com/listing/4343107122/dainty-stacking-name-ring-custom","13","engraved band ring,delicate name ring,custom stacking ring,custom name ring,stackable ring,dainty band ring,sterling silver ring,promise ring,gift for her,Christmas Gift,Personalized Gifts,engraved name ring,name ring","3.90%","3","4.33","None","6.00 days","5 days","7 days","269","41","Yes","29 Tem, 2025","Physical","No","No","Yes","8","No","1.13%","NaN","0.0","$3029",
"Diamond Wrap Ring Stackable Eternity Ring Set CZ Wedding Band Set Minimalist Bridal Ring Set Adjustable Wrap Ring Dainty CZ Rings","$18496","63","$32.00","Jewelry","LeJewelryAtelier","578","61","Shop owner","Made to Order","68814","No","https://www.etsy.com/listing/1832990613/diamond-wrap-ring-stackable-eternity","13","snake ring,Wedding Band,Open Eternity Ring,Stacking Rings Women,Minimalist Rings,Adjustable Ring Set,Hypoallergenic,Anniversary Gift,Elegant Ring,Everyday Ring,Dainty CZ Ring,Diamond Ring,solid gold ring","15.22%","88","4.90","None","1.00 days","1 days","1 days","3605","285","No","27 Kas, 2024","Physical","No","No","Yes","6","Yes","0.84%","NaN","0.0","$1951",
"Retro Tortoise Pattern Apple Watch Resin Bracelet Strap 40mm 41mm 42mm 44mm 45mm 46mm 49mm Women Charms iWatch Series 10 9 8 7 6 1 2 3 4 5","$34067","68","$42.32","Jewelry","gobandzus","805","58","Shop owner","","62886","Yes","https://www.etsy.com/listing/1747081874/retro-tortoise-pattern-apple-watch-resin","13","apple watch band,stainless steel band,metal watch band,iwatch band,milanese watch band,mesh loop band,41mm series 7 band,45mm series 7 band,40mm series 6 band,44mm series 6 band,rose gold band,gift band mom,gift for him","18.39%","148","4.89","None","2.00 days","1 days","3 days","3178","422","No","13 Tem, 2024","Physical","No","No","No","10","Yes","1.28%","NaN","0.0","$2467",
"Oval Moissanite Ring 14k Solid Gold Floating Gem Ring East West Unique Sideway Oval Cut Ring Unique Floating Stone Wedding Promise Ring Gift","$3587","53","$37.37","Jewelry","ANKITGEMCRAFTS","96","53","Shop owner","","17137","No","https://www.etsy.com/listing/4335160189/oval-moissanite-ring-14k-solid-gold","13","Oval Moissanite,Bypass Ring,14K Gold Ring,Solitaire Ring,Promise Ring,Bridal Ring,Gold Moissanite,Moissanite Band,Gift for Her,Oval Ring,Dainty Ring,Engagement Ring,Anniversary Ring","6.25%","6","4.83","None","3.50 days","3 days","4 days","1012","56","No","14 Tem, 2025","Physical","No","No","Yes","10","Yes","0.56%","NaN","0.0","$1990",
"1.8mm wide Moissanite Half Eternity ring in Titanium, white gold or Silver - stacking ring - wedding band - handmade engagement ring","$220048","68","$69.99","Jewelry","TheAladdinsCave","3144","53","Shop owner","Made to Order","362113","Yes","https://www.etsy.com/listing/883774768/18mm-wide-moissanite-half-eternity-ring","13","half eternity,engagement,diamond,eternity ring,sterling silver,wedding ring,wedding band,white gold,promise ring,moissanite eternity,moissanite wedding,titanium half ring,titanium eternity","24.71%","777","4.87","None","4.00 days","2 days","6 days","10632","1769","No","03 Kas, 2020","Physical","No","No","No","10","No","0.87%","NaN","0.0","$3739",
"Skinny Hammered 14k Gold Filled Ring: Minimalist Stacking Band","$61798","63","$16.06","Jewelry","PangolinCreations","3848","50","Shop owner","Made to Order","146444","Yes","https://www.etsy.com/listing/693810988/skinny-hammered-14k-gold-filled-ring","13","Minimal,modern jewelry,minimalistic ring,dainty ring,gift,bridesmaid ring,friendship band,midi ring,toe ring,stacker ring,stackable jewellery,skinny band,skinny gold ring","22.30%","858","4.90","None","2.00 days","1 days","3 days","7215","2303","No","20 May, 2019","Physical","No","No","No","6","No","2.63%","NaN","0.0","$806",
"TPU Apple Watch Case, Apple Watch Case Bumper, PC iWatch Case, Apple Watch Band, 38mm 40mm 41mm 42mm 44mm 45mm 46mm 49mm, Series 1-10","$5566","53","$17.90","Jewelry","SereneNookStudio","311","50","Member of the shop","Made to Order","8103","No","https://www.etsy.com/listing/1883064555/tpu-apple-watch-case-apple-watch-case","13","Jewelry,apple watch band,watches,iwatch strap,38mm 40mm 41mm,42mm44mm45mm49mm,bracelet,handmade,Stainless steel,gold iwatch band,women watch band,Mother's Day Gifts,Series 1-10 Se ultra","17.36%","54","4.35","None","3.00 days","2 days","4 days","245","188","No","04 Mar, 2025","Physical","No","Yes","No","5","Yes","3.84%","NaN","0.0","$893",
"Tungsten Wedding Band: Cosmic Galaxy Ring with Gold Inlay (8mm)","$113150","79","$119.99","Jewelry","Mureti","943","44","Shop owner","Made to Order","174992","Yes","https://www.etsy.com/listing/1603322892/tungsten-wedding-band-cosmic-galaxy-ring","13","Meteorite Ring,Space Ring,Meteorite Ring Men,Gold Inlay RIng,Wedding Band Men,Wedding Ring Men,Unique Wedding Ring,Promise Ring,Gold Galaxy Ring,Gold Space Ring,Galaxy Wedding Band,Galaxy Gold Ring,Space Gold Ring","25.66%","242","4.90","None","1.50 days","1 days","2 days","12062","655","No","23 Kas, 2023","Physical","No","No","Yes","9","Yes","0.54%","NaN","0.0","$5249",
"Mens Ring - 18K Gold Fire Opal Band Ring - Men's Gold Steel Ring - Mens Blue Opal Ring - Gold Rings For Men - Mens Jewelry By Twistedpendant","$32055","53","$21.63","Jewelry","Twistedpendant","1482","41","Production partner","","53398","No","https://www.etsy.com/listing/1306617191/mens-ring-18k-gold-fire-opal-band-ring","13","Mens rings,mens jewelry,Blue Opal Ring,Band rings for men,Blue rings for men,opal ring men,signet ring men,mens gold rings,gold ring men,mens band ring,silver promise ring,gold opal ring,pinky ring men","13.83%","205","4.80","Lindsey","1.00 days","1 days","1 days","1870","1088","No","16 Eyl, 2022","Physical","No","No","No","10","No","2.78%","NaN","0.0","$897",
"Here for the Band Patch - Black & Gold","$285","42","$5.00","Accessories","PricklyPatchTx","57","40","Production partner","","243","No","https://www.etsy.com/listing/4341158785/here-for-the-band-patch-black-gold","13","filler,iron on,rts,bulk,discount,save,cheer,football,team,school,checkered,spirit,music","5.26%","3","5.00","Patch Vendor","3.00 days","1 days","5 days","12","44","No","25 Tem, 2025","Physical","No","No","No","2","Yes","23.46%","NaN","0.0","$202",
"Mens Ring - Gold Signet Ring - Black Onyx Styled Ring - Man Ring- Mens Silver Ring - For Him Gift- Stainless Steel Ring - Gold Ring Men","$50094","53","$24.20","Jewelry","Twistedpendant","2070","39","Production partner","","146468","No","https://www.etsy.com/listing/1006767717/mens-ring-gold-signet-ring-black-onyx","13","Gold Onyx Ring,Gold Signet Ring,Mens rings,Stainless steel ring,Gold Rings men,Silver signet ring,Sterling silver ring,Silver rings men,Gold rings for men,Mens band rings,Black onyx ring,Signet ring men,rings for men","13.82%","286","4.70","Lindsey","1.00 days","1 days","1 days","5749","1598","No","23 Nis, 2021","Physical","No","No","No","10","No","1.41%","NaN","0.0","$941",
